PlotNo,MowFreq,MonthLabel,Subplot,Seedling,Juvenile,FlowerBud,Flowering,Fruiting,PostFruiting,phen_Richness,phen_Shannon,phen_evenness
BC01,regular,July,NW,5.31,0,0,54.6,59.6,0,3,0.8432138323401352,2.1767286526965925
BC01,regular,July,SE,0.5,0,0,66,71,0,3,0.7140172941728259,2.0118917768496103
BC01,regular,March,NW,0,0,0,5,0,0,1,0,1
BC01,regular,March,SE,0,0,0,0.5,0,0,1,0,1
BC01,regular,May,NW,0,0,0,54,15.001,0,2,0.5236008654428802,1.5157887697615788
BC01,regular,May,SE,0,0,0,54,24,0,2,0.6172417697303416,1.7422680412371137
BC01,regular,September,NW,0.51,0,0,8,16.5,0,3,0.7183731900621789,1.858785516393119
BC01,regular,September,SE,0.5,0,0,34,34.1,0,3,0.7312265718901415,2.02925323191293
BC02,reduced,July,NW,1.5,0,40,35.5,30.5,0,4,1.1507703787117547,3.0469316459033684
BC02,reduced,July,SE,0.8,0,6,84,73,0,4,0.8497805286778954,2.1599756553884997
BC02,reduced,March,NW,1,0,0,4,0,0,2,0.5004024235381879,1.4705882352941173
BC02,reduced,March,SE,1,0,0,2.11,0,0,2,0.6280273663198799,1.7740136828011226
BC02,reduced,May,NW,0,0,0,6,45,0,2,0.362210557135449,1.2620087336244543
BC02,reduced,May,SE,0,0,0,17,44,0,2,0.5917104093969314,1.6723595505617974
BC02,reduced,September,NW,0.02,0,0,71,97.5,0,3,0.6818394023066651,1.952189562915615
BC02,reduced,September,SE,1.5,0,0,20.1,86.1,0,3,0.5517541684760882,1.4833857026115582
BC03,reduced,July,NW,2.61,0,0,54,84,0,3,0.7492924710245119,1.981315200834376
BC03,reduced,July,SE,0.62,0,0,38,92,0,3,0.6314682672923819,1.7219340420422125
BC03,reduced,March,NW,0,0,0,73.3,0,0,1,0,1
BC03,reduced,March,SE,0,0,0,61.5,0,0,1,0,1
BC03,reduced,May,NW,0,0,0,112,63.71,0,2,0.6548916337610319,1.8595477237706008
BC03,reduced,May,SE,0,0,0,84.5,40.1,0,2,0.6282410649439104,1.7746569032013222
BC03,reduced,September,NW,0.6,0,0,54.5,42.5,0,3,0.7186913654092876,1.9941467826145205
BC03,reduced,September,SE,0,0,0,41.1,36.1,0,2,0.6910483400297989,1.9916455577759806
BC04,regular,July,NW,0.01,0,2,70,71.5,0,4,0.7575114207627832,2.056170712031242
BC04,regular,July,SE,0,0,0,49.5,39,0,2,0.6860923673472046,1.9722379603399436
BC04,regular,March,NW,0.01,0,0,0.6,0,0,2,0.08364970461058928,1.0333240766453762
BC04,regular,March,SE,0,0,0,0.8,0,0,1,0,1
BC04,regular,May,NW,0,0,17,24.01,11.32,0,3,1.0539106202605295,2.7560053239535134
BC04,regular,May,SE,0.1,0,3,54.51,11.012,0,4,0.6228434763849594,1.5182348653155078
BC04,regular,September,NW,0.11,0,0,21,27,0,3,0.699934322311697,1.9782462933502996
BC04,regular,September,SE,0.6,0,0,17.3,19.3,0,3,0.7630626469556009,2.058856785788675
BC05,reduced_sown,July,NW,0,0,2.5,58,54.2,0,3,0.7824270278046428,2.0856562178478066
BC05,reduced_sown,July,SE,0,0,4,83.5,66.61,0,3,0.789366173309519,2.0787393182619587
BC05,reduced_sown,March,NW,0.52,0,0,1,0,0,2,0.6424220210762541,1.8186397984886646
BC05,reduced_sown,March,SE,0,0,0,1.2,0,0,1,0,1
BC05,reduced_sown,May,NW,0,0,6.3,93.31,21.81,0,3,0.6642754068976495,1.5986359842423254
BC05,reduced_sown,May,SE,0.01,0,16.2,108.9,13.5,0,4,0.6679367150257219,1.5615156124357679
BC05,reduced_sown,September,NW,0.10200000000000001,0,0,24.4,72.8,0,3,0.5711114993685683,1.6059951308228146
BC05,reduced_sown,September,SE,0.1,0,0,27.2,82.2,0,3,0.5676157913202896,1.5994058711244563
BC06,regular,July,NW,1.2,0,0.11,41,33,0,4,0.768071699976594,2.046434827432161
BC06,regular,July,SE,2.5,0,0,25.1,22,0,3,0.855852855069076,2.196061628550515
BC06,regular,March,NW,0,0,0.5,0,0,0,1,0,1
BC06,regular,March,SE,0,0,0,0.1,0,0,1,0,1
BC06,regular,May,NW,0,0,0,38.6,32.4,0,2,0.6893295844999534,1.9848644732490193
BC06,regular,May,SE,0,0,0,26,23.11,0,2,0.691414666534259,1.9930978492934432
BC06,regular,September,NW,0.51,0,0,47,42,0,3,0.7227532608805047,2.0164902116526426
BC06,regular,September,SE,0.021,0,0,34.5,34,0,3,0.695694044914694,2.0011194708604427
BC07,reduced,July,N,0.61,0,0,115,115,0,3,0.709654433296049,2.010594478555559
BC07,reduced,July,S,0.03,0,0,120.3,97.3,0,3,0.6888190894057707,1.9784478595267265
BC07,reduced,March,N,0.5,0,20,5.11,0,0,3,0.5915381194093398,1.53829831497687
BC07,reduced,March,S,0.05,0,5.01,0.11,0,0,3,0.15724269229088594,1.0642731149486158
BC07,reduced,May,N,0,0,16,15,27.6,0,3,1.057869715362364,2.763172293926422
BC07,reduced,May,S,0,0,5,13,30.201,0,3,0.8814011120177695,2.1004751457458335
BC07,reduced,September,N,9.01,0,0,73.5,79.3,0,3,0.8687894105042624,2.224146602897857
BC07,reduced,September,S,0.5,0,0,43.8,48.8,0,3,0.7214010706568847,2.0156623171857593
BC08,regular,July,NW,3,0,0,38,38,0,3,0.8282784220213297,2.154297549188816
BC08,regular,July,SE,3.01,0,0,43,43,0,3,0.8174752751928789,2.1372138261259916
BC08,regular,March,NW,0,0,0,36,0,0,1,0,1
BC08,regular,March,SE,0,0,0,50.53,0,0,1,0,1
BC08,regular,May,NW,0,0,0,72.5,1.4,0,2,0.09390245087478796,1.0386062937767797
BC08,regular,May,SE,0,0,0,78.5,5.7,0,2,0.24763792311909638,1.1444612687538136
BC08,regular,September,NW,0,0,0,6,46.6,0,2,0.3549377541143695,1.2533113482759244
BC08,regular,September,SE,0,0,0,12,62.2,0,2,0.4425193957042873,1.3720058611855945
BC09,reduced,July,NW,0,0,0,70.41,56,0,2,0.6866357024612751,1.9743440596984663
BC09,reduced,July,SE,0.01,0,0,47.2,41,0,3,0.691739440096251,1.9906171398517942
BC09,reduced,March,NW,0.01,0,0,1,0,0,2,0.05554607526889177,1.01999800019998
BC09,reduced,March,SE,0.01,0,0,0,0,0,1,0,1
BC09,reduced,May,NW,0,0,0,29.8,1,0,2,0.1432176079458115,1.0670386034374155
BC09,reduced,May,SE,0,0,0,36,13,0,2,0.5785341056326687,1.6389078498293514
BC09,reduced,September,NW,0.01,0,0,39.01,81.52,0,3,0.6304033333053801,1.7790344817655934
BC09,reduced,September,SE,0,0,0,19.1,69.6,0,2,0.5209367654553942,1.5104118472557915
BC10,reduced_sown,July,NW,0.52,0,0,70.5,18.5,0,3,0.5438430646438349,1.5084089461121828
BC10,reduced_sown,July,SE,0.7,0,0,86.1,45,0,3,0.6728675651386073,1.8404271774714738
BC10,reduced_sown,March,NW,1,0,0,1.62,0,0,2,0.6648802865608856,1.8939410661074938
BC10,reduced_sown,March,SE,2.1,0,0,6.03,0,0,2,0.5712739741515483,1.6211783404339863
BC10,reduced_sown,May,NW,0,0,4,73.81,17.71,0,3,0.6445607470782222,1.5792255007572231
BC10,reduced_sown,May,SE,0,0,8,99.5,17.21,0,3,0.6296787066768089,1.5157822708495345
BC10,reduced_sown,September,NW,0.01,0,0,72.5,81.5,0,3,0.6920846077478087,1.9934512670214621
BC10,reduced_sown,September,SE,0.02,0,0,69,86.1,0,3,0.6882522040652459,1.97649076280134
BC11,regular,July,NW,0.01,0,0,43.3,52,0,3,0.6899683246083324,1.983886029498721
BC11,regular,July,SE,0,0,0,68.4,47,0,2,0.6758528940656587,1.9335091091765446
BC11,regular,March,NW,0.02,0,0,1,0,0,2,0.09650896073594732,1.039984006397441
BC11,regular,March,SE,0.01,0,0,1,0,0,2,0.05554607526889177,1.01999800019998
BC11,regular,May,NW,0,0,0,83.9,6.8,0,2,0.2663152101173844,1.1610398774954307
BC11,regular,May,SE,0,0,0,76.9,11.5,0,2,0.38655870255663216,1.2925472968279117
BC11,regular,September,NW,0.5,0,0,13.7,73.7,0,3,0.46684877374414774,1.374896567923511
BC11,regular,September,SE,2,0,0,28,105,0,3,0.5841350939009068,1.5427918394988571
BC12,reduced,July,NW,0.2,0,0.1,12,0,0,3,0.13019001801497515,1.050260326275599
BC12,reduced,July,SE,0,0,0.5,20.2,0,0,2,0.1137948104768963,1.049474638124862
BC12,reduced,March,NW,0.1,0,3,0.01,0,0,3,0.16371383395800979,1.0734731024072985
BC12,reduced,March,SE,0.05,0,6,0,0,0,2,0.04786485027570371,1.0166655093396293
BC12,reduced,May,NW,2,1,0,76,60.11,0,4,0.7893144398080121,2.059948390988533
BC12,reduced,May,SE,5.1,0,0,82.61,50,0,3,0.7964620766040839,2.028148451180616
BC12,reduced,September,NW,0.02,0,0,15.1,15,0,3,0.6982039053181518,2.0026348180968916
BC12,reduced,September,SE,0,0,0,31,28,0,2,0.6918538909574949,1.9948424068767903
BC13,regular,July,NW,1.25,0,4,10.001,10,0,4,1.1743288542761647,2.9304424669702636
BC13,regular,July,SE,2.1,0,3,16,16,0,4,1.0913327539365965,2.619687482156792
BC13,regular,March,NW,0.01,0,0,12.02,0,0,2,0.006726648356745589,1.0016638923591765
BC13,regular,March,SE,0.01,0,0,7.71,0,0,2,0.009907171763989859,1.0025940293586253
BC13,regular,May,NW,0,0,30,41.7,30.8,0,3,1.0867869842136584,2.928546938980301
BC13,regular,May,SE,0,0,5,55,21.8,0,3,0.7901433549596996,1.8980948814832463
BC13,regular,September,NW,4.9,0,0,1,31,0,3,0.5122533980895497,1.3809291995010193
BC13,regular,September,SE,2.3,0,0,6,2,0,3,0.9678194137560794,2.3424597041289474
BC14,regular,July,NW,0.8099999999999999,0,0,18.5,15,0,3,0.7832122131884396,2.072835808595823
BC14,regular,July,SE,0.03,0,0,22,17,0,3,0.6906599666416903,1.9706845101991475
BC14,regular,March,NW,0.012,0,0,3.11,0,0,2,0.02521229265566043,1.0077169269096187
BC14,regular,March,SE,0.003,0,0,2.2,0,0,2,0.01034718364841656,1.0027272676559074
BC14,regular,May,NW,0.2,0,0,76,15.6,0,3,0.4709056250593423,1.4000132903611653
BC14,regular,May,SE,0.2,0,0,52.6,9.7,0,3,0.45266093425482795,1.3653967821202493
BC14,regular,September,NW,0.1,0,0,7,24,0,3,0.5541079972418289,1.5475112398201631
BC14,regular,September,SE,0.01,0,0,24,30.2,0,3,0.6882340274210811,1.9748957706180097
BC15,reduced,July,NW,0.11,0,0,77.21,48.01,0,3,0.6721769077911126,1.9001853210706634
BC15,reduced,July,SE,1.11,0,0,87,35,0,3,0.6453662340195416,1.7232145698576844
BC15,reduced,March,NW,0.1,0,0,1.01,0,0,2,0.3027462091419949,1.1960974662654114
BC15,reduced,March,SE,5.01,0,0,8.51,0,0,2,0.6592541781565643,1.8743849992104205
BC15,reduced,May,NW,0,0,0,58.3,43.11,0,2,0.6818866291217534,1.9561118112826963
BC15,reduced,May,SE,0,0,0,50.6,32.5,0,2,0.6692354038607162,1.909415170560276
BC15,reduced,September,NW,0,0,0,40,40,0,2,0.6931471805599453,2
BC15,reduced,September,SE,0,0,0,37,33,0,2,0.6915136378174997,1.9934906427990235
BC16,regular,July,NW,0.1,0,0,32.51,9.5,0,3,0.5500185497000912,1.5457756070839634
BC16,regular,July,SE,0.2,0,0,55,10,0,3,0.4488200742203444,1.360315387963034
BC16,regular,March,NW,0.01,0,0,3.51,0,0,2,0.019494912994350192,1.00569795944871
BC16,regular,March,SE,0.02,0,0,1.61,0,0,2,0.06618948225695603,1.024840887174542
BC16,regular,May,NW,0,0,0,56,27.1,0,2,0.631391769167424,1.784206324394573
BC16,regular,May,SE,0,0,0,64.1,33.1,0,2,0.6413896890942279,1.81534926082061
BC16,regular,September,NW,0.04,0,0,9,2,0,3,0.4964018049656941,1.4338741858976771
BC16,regular,September,SE,1.6,0,0,12.1,10,0,3,0.8892875918868135,2.2560549463790815
BC17,reduced_sown,July,N,0.1,0,2.2,69,14,0,4,0.5703890017974398,1.4664066829912228
BC17,reduced_sown,July,S,0.7,0,3.5,49.51,15,0,4,0.766753738619706,1.755708084265852
BC17,reduced_sown,March,N,0.311,0,0,6.9,0,0,2,0.1777624785966012,1.0899621669659503
BC17,reduced_sown,March,S,0.2,0,0,6.3,0,0,2,0.13740600645276865,1.0634281399446264
BC17,reduced_sown,May,N,0.3,0,5,60.85,6.23,0.3,5,0.5887811631008153,1.4023842629575893
BC17,reduced_sown,May,S,2,0,15,73.6,16.8,1,5,0.9424103162803489,1.981812048843014
BC17,reduced_sown,September,N,0.14,0,0,64.1,64.1,0,3,0.7009217981856929,2.004365779195281
BC17,reduced_sown,September,S,5.7,0,0,67,68,0,3,0.8346073155932584,2.1646177514818774
BC18,reduced,July,NW,4.101,0,0,100.11,86.11,0,3,0.7794469236086867,2.0753166113298693
BC18,reduced,July,SE,0.501,0,1,48.05,45,0,4,0.7732429673183728,2.0622332801516214
BC18,reduced,March,NW,0.101,0,0,0.1,0,0,2,0.6931348045776013,1.9999504975001234
BC18,reduced,March,SE,0.01,0,0,1,0,0,2,0.05554607526889177,1.01999800019998
BC18,reduced,May,NW,0.9,0,17,11.4,3,0,4,1.0258774004319209,2.433215943279613
BC18,reduced,May,SE,0.01,0,6.5,19.9,1.001,0,4,0.697505057772705,1.7105116040957968
BC18,reduced,September,NW,2.6,0,0,44.6,51.6,0,3,0.7940188783369432,2.095413096117188
BC18,reduced,September,SE,0.11,0,0,32,38.5,0,3,0.6994449549967541,1.9893258969203578
BC19,regular,July,NW,0,0,0.1,51.5,53,0,3,0.6999841252068061,2.0034131317681267
BC19,regular,July,SE,0,0,0.5,30.6,32.2,0,3,0.7334564751854108,2.030398540626821
BC19,regular,March,NW,0,0,0,4,0,0,1,0,1
BC19,regular,March,SE,0.1,0,0,3,0,0,2,0.1425058673927379,1.0665926748057715
BC19,regular,May,NW,0.5,0,0,89.5,4,0,3,0.20890158209093945,1.1008534230361926
BC19,regular,May,SE,0.5,0,0,101,2,0,3,0.12588182553820518,1.0496803116043212
BC19,regular,September,NW,0.11,0,0,9.5,3,0,3,0.5963213385323267,1.601941728010993
BC19,regular,September,SE,0.1,0,0,27.1,12,0,3,0.6328097745041246,1.7493226474807042
BC20,regular,July,NW,0.02,0,0,10.42,10,0,3,0.7000159674714775,2.003068414128513
BC20,regular,July,SE,0.01,0,10,33.7,13.1,0,4,0.9553839637743001,2.293310502855787
BC20,regular,March,NW,1.1,0,0,12.1,0,0,2,0.2868359830561606,1.1803278688524588
BC20,regular,March,SE,1.6,0,0,26.11,0,0,2,0.2207057089514528,1.1220999044121656
BC20,regular,May,NW,0.1,0,5,49.3,42.72,0,4,0.865239225951014,2.2035505024368187
BC20,regular,May,SE,0.51,0,4,60.5,27.61,0,4,0.8033205771560226,1.9325992376986854
BC20,regular,September,NW,0.21000000000000002,0,0,3.3,10.1,0,3,0.6292606653275692,1.6400334324679198
BC20,regular,September,SE,0.1,0,0,22,7.1,0,3,0.5765882835441278,1.59544927210808
