PlotNo,MowFreq,MonthLabel,SR,evenness,shannon,cover,biomass,neophyte
BC01,regular,July,22,6.314258290809963,2.1575155977638403,86.145,1026.435,2
BC01,regular,March,21,4.443585652680515,1.95539220060648,58.941,191.52533333333332,0
BC01,regular,May,26,11.151376513650286,2.6165901710247077,117.532,1392.6256666666666,0
BC01,regular,September,26,8.097914589131923,2.3717147346867287,104.542,937.0676666666667,1
BC02,reduced,July,26,6.402798183171204,2.3096370436106777,68.44,1748.5033333333333,3
BC02,reduced,March,35,5.814295054158541,2.2201307681469062,75.854,378.879,4
BC02,reduced,May,31,8.267108646255368,2.5123510256034676,103.431,1607.1363333333334,3
BC02,reduced,September,35,10.816452221868149,2.796162778693849,113.722,3268.7396666666664,3
BC03,reduced,July,30,9.472975889043363,2.553260266915416,99.23,2418.1200000000003,2
BC03,reduced,March,34,5.050313714371878,2.0382453977895416,102.192,947.528,4
BC03,reduced,May,37,7.362744115846255,2.446712820391274,103.445,3339.6673333333333,3
BC03,reduced,September,32,10.396947949128108,2.6434883799636277,116.621,1545.3416666666667,2
BC04,regular,July,36,8.33282447606466,2.5375292528699553,110.232,2427.7913333333336,3
BC04,regular,March,35,8.008992484640332,2.4082597533362033,59.784,234.38733333333334,1
BC04,regular,May,44,10.284792343279328,2.7533062825507897,83.9811,1367.6623,2
BC04,regular,September,36,11.302435669109611,2.7190002053946,94.32,1059.6883333333333,1
BC05,reduced_sown,July,34,5.330252611514433,2.3298678575177365,88.72,2167.6016666666665,1
BC05,reduced_sown,March,43,5.116067709236508,2.0984335184710363,75.658,362.04633333333334,0
BC05,reduced_sown,May,51,8.630460487782901,2.6757142779377054,117.254,2280.6021666666666,1
BC05,reduced_sown,September,40,6.384325799209787,2.413847762273448,117.053,2114.4796666666666,1
BC06,regular,July,30,9.545807998886808,2.5660053045395275,102.45,684.3516666666667,1
BC06,regular,March,30,4.757579198028084,2.0602287376815225,77.03,229.89333333333335,1
BC06,regular,May,32,10.671151169023481,2.7342541769268105,66.54,872.8433333333334,1
BC06,regular,September,33,11.648432798022334,2.7539363167345674,109.512,882.423,2
BC07,reduced,July,35,7.823820147386736,2.3874115569207754,162.455,3594.414166666667,4
BC07,reduced,March,42,7.841764755854942,2.5039656457886696,67.711,174.691,5
BC07,reduced,May,35,8.108383132717128,2.5454394992249942,74.162,531.535,4
BC07,reduced,September,39,12.542341952860058,2.8847430451462652,113.75,1580.0466666666666,4
BC08,regular,July,12,3.007744146447277,1.3608149774650653,87.32,826.47,0
BC08,regular,March,18,2.2896401104055824,1.1349813261670705,80.661,449.2186666666667,1
BC08,regular,May,15,2.451574497627778,1.150470483471533,78.53,1980.2366666666665,0
BC08,regular,September,19,2.804113048843524,1.3113501680516826,96.4511,642.89135,0
BC09,reduced,July,28,8.133037392280137,2.4026097892117457,126.431,1902.9176666666667,1
BC09,reduced,March,22,6.1856721087268935,2.102703763021982,29.631,121.52766666666668,0
BC09,reduced,May,27,9.00596490564994,2.4616481458649218,84.83,917.77,1
BC09,reduced,September,31,6.999882101163275,2.3435463721550325,111.641,1498.9476666666667,1
BC10,reduced_sown,July,51,8.777565528812483,2.5883833207627407,91.032,1909.2946666666667,6
BC10,reduced_sown,March,55,10.504124974864144,2.891775662601713,64.523,263.216,6
BC10,reduced_sown,May,56,10.836324406604616,2.856011599141366,109.772,3564.244,7
BC10,reduced_sown,September,46,9.50887010935884,2.704387518375641,101.7421,1927.3107666666667,6
BC11,regular,July,24,3.8225806901186052,1.7423367828400065,109.23,926.1666666666666,1
BC11,regular,March,18,3.355686500412524,1.602347448308214,51.522,173.84533333333334,0
BC11,regular,May,22,4.008611941082481,1.7556147234055453,96.61,753.6966666666667,0
BC11,regular,September,24,4.224501019637775,1.8464740616901956,107.42,675.0849999999999,1
BC12,reduced,July,27,7.215205229103904,2.2468521820585297,92.341,1171.768,0
BC12,reduced,March,27,5.135953399927154,2.1097917379091524,54.43,265.58666666666664,1
BC12,reduced,May,34,7.547486303583968,2.4754257023571284,123.353,3304.09,1
BC12,reduced,September,28,8.91016734833392,2.5345025077711663,128.832,1277.5903333333333,1
BC13,regular,July,28,11.14447372946557,2.6146562696289792,54.318,395.7133333333333,1
BC13,regular,March,32,7.897758915988601,2.3462261968005493,40.663,153.60466666666667,2
BC13,regular,May,31,11.202716553014323,2.6472988885624362,112.522,1330.6553333333334,1
BC13,regular,September,31,9.247658919903152,2.5663622629305256,82.531,372.476,1
BC14,regular,July,26,5.055197560136111,2.0378290100914738,59.146,628.9591666666666,1
BC14,regular,March,26,4.1898674240858185,1.907499251375626,35.946,168.0475,2
BC14,regular,May,31,6.770270586813831,2.3086192338038294,71.444,1443.763,0
BC14,regular,September,27,4.518176334025657,1.9535966702355982,51.36,344.19666666666666,1
BC15,reduced,July,22,4.191976061970876,1.8666958610878526,93.202,1307.2368333333334,0
BC15,reduced,March,24,3.8950341261116797,1.8815717049251777,64.852,240.99833333333333,1
BC15,reduced,May,28,6.829169284390189,2.290171344573382,72.631,772.8206666666666,0
BC15,reduced,September,24,5.963139519238872,2.175095233871638,80.6311,435.3361,0
BC16,regular,July,27,8.430544701356606,2.445610357665955,128.481,2074.1336666666666,1
BC16,regular,March,32,3.8459538620057803,1.7792380151794671,42.632,288.29266666666666,4
BC16,regular,May,32,8.963140218618316,2.464455472895259,94.5531,1793.143,1
BC16,regular,September,30,7.5740884229485,2.3929570987161295,104.521,633.7093333333333,2
BC17,reduced_sown,July,45,12.192509443402425,2.820404029649611,121.301,1559.116,3
BC17,reduced_sown,March,56,12.725615754926674,3.0356780815125255,94.635,556.2286666666666,4
BC17,reduced_sown,May,51,9.016542740071738,2.631032746262668,117.161,2265.264,2
BC17,reduced_sown,September,50,11.351117026720052,2.8389345663133927,149.164,1624.5056666666667,2
BC18,reduced,July,36,7.964609001764891,2.5175519555080657,122.934,2183.629,2
BC18,reduced,March,32,5.178091227446073,2.151627431751722,25.9542,106.1743,1
BC18,reduced,May,32,7.9521615754604404,2.5121141117990384,54.03,769.8833333333333,1
BC18,reduced,September,42,4.34099344935885,2.1507915462253866,100.404,1360.6916666666666,4
BC19,regular,July,22,4.764714860325721,1.9191572665019896,93.26,669.3866666666667,0
BC19,regular,March,20,8.319249674644993,2.381429439643643,29.42,128.77333333333334,0
BC19,regular,May,24,1.8526313319725016,1.0892782475865745,2.81,32.519999999999996,0
BC19,regular,September,21,7.270956791912884,2.2787805210232714,91.611,601.1693333333333,0
BC20,regular,July,34,8.070204919168212,2.412646428091662,65.602,559.8276666666667,3
BC20,regular,March,39,6.258662900260198,2.3717728372168287,94.97,499.8666666666667,5
BC20,regular,May,39,8.42471295564755,2.5536380557334066,85.551,1534.0243333333333,2
BC20,regular,September,31,9.012658572912885,2.506773850536626,97.41,617.01,1
